Index,Date,Time,GOES,Pos_X,Pos_Y,T_vth,E_break,gamma,T_vth_kappa,T_kappa,kappa,d_max,d_com,A,F_th,F_nth,tau_cross,tau_loss,n,goes_corr_high,goes_corr_low,goes_lag_high,goes_lag_low,gamma_err,kappa_err,level
1,2002 Mar 07,17:50:44,C2.5,-961.526,-176.351,21.4368245747,11.5590118681,5.8598109654,32.0103209634,10.0592503717,4.56177016667,-0.409051775932,-0.0803777053952,2.83541426352e+18,996777.681727,159758.350359,0.231812775135,3.68020054237,3233997865.68,0.771221220493,0.491164088249,12.0,0.0,0.0691308689834,0.126433033166,2.5e-06
2,2002 Mar 28,17:56:07,C7.6,965.683,-64.1707,21.6288276387,17.6117595945,5.54770885195,15.6484314407,12.9146190863,5.64117574692,-0.584461629391,-1.02708423138,1.10236671588e+18,267099.687339,57826.9767935,0.144541367888,0.983711614266,12098831127.6,0.655832409859,0.59373998642,-4.0,-8.0,0.329670976351,0.76789719449,7.6e-06
3,2002 Apr 04,10:43:52,M1.4,-896.785,-347.527,25.3989665316,18.8319233486,5.15949889592,16.9177063185,11.0412143397,4.91043376923,0.52103215456,0.692111372948,9.80470390055e+17,2164003.72209,1023957.98196,0.136315852404,0.93744740599,12695923657.4,0.855688810349,0.769047260284,0.0,-4.0,0.204990890065,0.375444666764,1.4e-05
4,2002 Apr 04,15:29:14,M6.1,-909.335,-333.783,27.0371573913,19.5809440613,5.17044224058,26.5032537685,9.75492537386,4.745235375,0.681610763073,0.511761665344,8.9037310874e+17,960235.181928,10738.5540931,0.129901796579,0.189474193965,62814679140.3,0.873383998871,0.870059370995,4.0,0.0,0.21265862552,0.257903471871,6.1e-05
5,2002 Apr 18,06:52:04,C9.4,913.697,314.075,19.911485301,16.9732025862,5.38476341963,18.3326233162,9.87820698211,5.31804805994,3.68068790436,3.06108212471,1.15006524828e+18,211379.416,28577053.6054,0.147635355592,0.362991861635,32787954654.6,,,,,0.321999067756,0.478818053599,9.4e-06
6,2002 Apr 22,12:05:56,C2.8,900.194,-319.254,20.9354873225,15.8428506851,4.02387329936,20.5722109505,7.5861630064,3.1195320487,3.47295498848,3.1101474762,2.34252931419e+18,1588042.14579,13320269.7881,0.210703447461,1.29439058038,9194875858.71,,,,,0.423055724289,0.215517940576,2.8e-06
7,2002 Apr 29,13:00:55,C2.2,-904.495,-323.61,10.1313196417,13.3070852757,8.05743789673,,,,0.0,0.00214045192115,1.30906053953e+18,110803.018274,27939.5782398,0.157510310411,0.0373510078533,3.18646306575e+11,,,,,0.41211055624,,2.2e-06
8,2002 Apr 30,00:32:48,C7.8,-882.804,-373.659,20.9378057612,18.6112070084,5.67642521858,18.5803706413,7.07356137529,6.00008445978,0.451914489269,0.276553988457,1.12356605597e+18,229033.035524,39578.5593833,0.145924568176,0.456066382898,26096553365.0,,0.749120652676,,4.0,0.486706980962,0.9146195349,7.8e-06
9,2002 Apr 30,08:20:44,M1.3,-891.482,-357.458,22.9588798073,17.7624242306,5.1517162919,20.2130908906,10.2823040104,5.01906985044,1.35666000843,1.54479134083,1.49985466913e+18,3344814.282,93684.1424331,0.168598502874,0.418314391764,28451712237.6,0.871133804321,0.857531011105,0.0,0.0,0.118810780648,0.140443721424,1.3e-05
10,2002 May 17,02:01:28,C5.1,-929.509,227.488,25.9768003804,17.5451378822,4.48655432463,19.2678082262,11.2662110657,5.45936644077,0.0100301047787,0.516371309757,2.35312888116e+18,1360363.44665,631030.6125,0.211179614067,2.231437721,5333673706.1,,,,,0.777322194324,0.605585899911,5.1e-06
11,2002 May 17,07:32:40,M1.5,-931.249,230.226,26.6231768533,19.8788130283,6.06221103668,17.3161339563,17.4990377986,7.16835260391,1.07461416721,1.64102780819,2.41142718668e+18,19934.2734329,511100.353277,0.213779568672,1.0766552075,11054384557.2,0.471139758825,0.447147578001,-8.0,0.0,0.200687571614,0.358128228487,1.5e-05
12,2002 Jul 05,08:03:06,C7.8,917.32,-291.23,20.7514340313,19.1006019115,7.52623355389,19.0824761362,11.0252195418,7.25653958321,0.450045108795,-1.07957708836,3.20640323062e+18,30115.0623817,784091.249079,0.246512070298,1.07205730756,11101795226.2,,,,,0.580539926075,0.334064266277,7.8e-06
13,2002 Jul 06,03:32:15,M1.8,911.648,-281.381,24.8855378687,18.8946866989,5.5622355938,21.71669691,31.8086951767,7.5104316473,2.11296987534,2.13660430908,1.11296642028e+18,23601036.1426,55616518.5475,0.145234614611,0.575195509446,20691678748.9,,,,,0.242672583635,0.496739431058,1.8e-05
14,2002 Jul 08,09:15:39,M1.6,-891.776,330.509,22.8112709831,18.1090270281,5.45317095518,17.6197752483,12.627462576,5.65840554237,1.62364554405,-0.333804637194,2.99970933825e+18,102619.138645,307794.758549,0.238434284925,1.83826304661,6474460073.19,0.515643656254,0.519108831882,4.0,0.0,0.17736535517,0.69267634087,1.6e-05
15,2002 Jul 09,04:03:28,C8.6,896.307,322.394,20.9130907925,,,,,,,,1.51575429446e+18,,,0.169489771128,1.25639454019,9472948439.79,0.601151406765,0.796628654003,24.0,20.0,,,8.6e-06
16,2002 Aug 04,09:38:51,M6.6,945.114,-337.965,21.0161140696,18.7748091221,8.4602804184,23.8744965891,12.0372082478,7.77295154333,-0.944926798344,-0.713165044785,3.66748920417e+18,1829552.18183,1511223.49593,0.263641357422,0.252193220157,47193024030.9,,,,,0.00897124083403,0.0695155389061,6.6e-05
17,2002 Aug 04,14:14:48,C6.9,909.468,-310.721,23.1750657422,18.3102163587,6.95369781767,15.2473438323,14.4846739485,7.67784261703,1.39543223381,0.919970929623,5.18324349863e+18,114412.42037,13670766.5713,0.313422322273,1.91693369474,6208749281.18,0.657306730747,0.475612401962,0.0,-12.0,0.291563952755,0.241590857706,6.9e-06
18,2002 Aug 28,18:54:44,M4.6,-937.893,158.265,32.5033732353,19.0128321648,4.44252502918,32.9104801529,9.77161353061,3.83022102714,0.125134080648,0.441412895918,1.08646722798e+18,108872.447696,4389.9237463,0.143495216966,0.513370479819,23183570476.2,0.601838350296,0.739651501179,12.0,4.0,0.166907589201,0.166260936227,4.6e-05
19,2002 Aug 28,21:43:23,M1.1,845.371,-445.731,26.6886724457,19.3645863533,5.03511142731,26.0805795236,8.80749633697,4.79935532808,0.684731483459,0.432591468096,9.69870685646e+17,1568.93754988,23584.155431,0.135577008128,0.372216342942,31975384544.4,0.489414870739,0.559080779552,0.0,0.0,0.147181666462,0.684412759671,1.1e-05
20,2002 Aug 29,02:50:28,M1.6,-946.928,141.519,26.1601735478,20.2257146835,5.83466976881,20.643159984,9.93344149001,6.16678351164,0.987360775471,0.441023230553,2.05103806142e+18,64996.1463227,21426.4596741,0.197158709168,0.628976070859,18922437992.0,0.736225903034,0.698268771172,8.0,0.0,0.187044558507,0.255533659961,1.6e-05
21,2002 Aug 29,05:43:56,C9.2,840.312,449.85,33.7385285325,21.8553497791,5.2393283844,28.5150239207,23.0958658691,6.64213871956,0.0142204100266,-0.277119129896,1.02816899117e+18,17348.7561206,875.834584443,0.139592275023,0.532294998836,22359332184.8,0.875388741493,0.909684658051,4.0,0.0,0.317167226269,0.781481485958,9.2e-06
