Index,Date,Time,GOES,Pos_X,Pos_Y,Stereo,H,T_vth,E_break,gamma,T_vth_kappa,T_kappa,kappa,d_max,d_com,A,F_th,F_nth,tau_cross,tau_loss,n,goes_corr_high,goes_corr_low,goes_lag_high,goes_lag_low,gamma_err,kappa_err,level
1,2011 Jan 28,00:57:03,M1.3,937.745,285.587, M9.3,3.68951010704,20.0524074641,15.5935134888,4.72924784252,18.1602213106,12.8833613074,4.3323206561,-1.15504527092,-0.838998317719,1.07056767137e+18,964053.950979,304555.80891,0.142441391945,0.467598789313,25452933094.1,0.806423783302,0.811939179897,0.0,-4.0,0.188806235863,0.418258210432,1.3e-05
2,2011 Mar 08,18:12:43,M4.4,931.968,-287.578, M7.6,6.3403172493,25.0029183924,18.4470904668,4.68144893646,18.0314267001,12.4034327163,4.29544138908,-1.58910167217,-1.23374593258,3.39719736022e+18,2147065.69112,1006469.33845,0.253740340471,0.787204238839,15119025167.9,0.925901472569,0.930068254471,0.0,0.0,0.0563942855682,0.113596121272,4.4e-05
3,2011 Jun 12,17:07:47,B8.6,-915.713,275.336, C2.4,16.6384525299,19.2066178018,13.0929134369,7.73944787979,,,,0.501387000084,0.453006356955,1.88674298669e+18,207604.284468,16106539.4621,0.189097359776,1.52475805013,7805671659.36,,,,,0.282302157355,,8.6e-07
4,2011 Sep 06,06:00:25,C9.6,890.673,370.615, X1.7,24.4002532959,19.6129850279,16.3295877775,7.315706412,12.9497915646,14.0265606205,7.90244992574,-0.772916674614,-0.75037419796,4.35116855798e+18,1537065.36031,12415209.8711,0.287165373564,1.05418300232,11290032824.5,,,,,0.142404556078,0.0425826960106,9.6e-06
5,2012 Aug 17,08:33:04,C4.7,-902.224,318.385, C9.5,3.66651344299,22.1991754815,17.9824035962,3.74899744987,18.4761459217,8.01326437599,2.8711086909,1.9042224884,1.76010251045,1.03876862686e+18,235831.040947,41824.1571832,0.140309974551,0.948079292815,12553549887.1,0.724293828011,0.70640617609,-16.0,-16.0,0.076934157747,0.0738697541118,4.7e-06
6,2012 Aug 17,13:17:50,M2.4,-898.837,316.892, M3.9,3.7355055809,24.416266749,21.3573996226,5.02971084913,21.9790786845,5.60723189231,5.41571768125,1.13776612282,1.14292109013,9.85770242259e+17,3449342.28341,136190.367593,0.136683776975,0.244092968988,48759129558.9,0.854446530342,0.897785723209,0.0,0.0,0.270803816671,0.727713343969,2.4e-05
7,2012 Sep 30,23:38:36,C9.9,934.426,205.997, M2.8,5.69534158707,25.2315608045,,,,,,0.802311122417,0.44333460927,2.48562498011e+18,,,0.217043563724,0.789891532175,15067588668.2,,,,,,,9.9e-06
8,2012 Oct 07,20:24:48,C1.2,-928.569,287.569, M6.0,18.2140369415,34.2475589085,12.3048684597,4.12898349762,21.2358974644,26.8451067969,5.6976287365,0.624445438385,-0.192279994488,1.84434430649e+18,22609.2045589,215318.77976,0.186960622668,5.2488974095,2267478247.48,,,,,0.283307026915,2.08179966768,1.2e-06
9,2012 Oct 17,07:53:55,C7.4,-960.82,112.878, M2.1,7.36884307861,31.0345268504,11.3222255707,4.10743435224,19.1529965402,19.149543063,4.3022625049,-0.803286612034,-0.36592450738,1.05466818348e+18,36828.3510623,312592.612798,0.141379699111,2.63863212477,4510579776.37,,,,,0.295750726537,0.629613462644,7.4e-06
10,2012 Oct 20,18:12:12,M9.0,-949.385,-222.895, M7.1,7.86746454239,24.8293944251,18.6745014191,7.62816754977,28.0928719662,15.7787227468,7.39430411657,0.868092417717,0.344759583473,1.30906053953e+18,23574398.3492,51873265.139,0.157510310411,0.115987941763,1.02612051894e+11,0.855768680573,0.944110155106,8.0,0.0,0.219542917908,0.33025135572,9e-05
11,2013 Apr 11,22:50:23,C4.0,955.726,169.48, M2.6,15.1049852371,25.1686006419,17.5734135764,6.36351306098,21.9532397941,9.91392992155,5.10364430291,-2.14905762672,-1.18140912056,1.51575429446e+18,107791.163074,282208.139595,0.169489771128,1.92117361755,6195046918.49,,,,,0.353268090059,0.450672330424,4e-06
